spp;unknown;artif;opena;fores;waterbodies;
474;Picumnus exilis;1;1;1;1;0
475;Picumnus fulvescens;1;0;1;1;0
476;Picumnus limae;1;1;1;1;0
477;Picumnus pygmaeus;1;0;1;1;0
478;Pilherodius pileatus;1;1;1;1;1
479;Pionus maximiliani;1;0;1;1;0
480;Pionus reichenowi;1;1;1;1;0
481;Pipile jacutinga;1;0;0;1;0
482;Pipra fasciicauda;1;0;0;1;0
483;Piranga flava;1;1;1;1;0
484;Pitangus sulphuratus;1;1;1;1;0
485;Platalea ajaja;1;1;1;1;1
486;Platyrinchus mystaceus;1;0;1;1;0
487;Pluvialis dominica;1;1;1;0;1
488;Pluvialis squatarola;1;0;1;0;1
489;Podilymbus podiceps;1;1;1;1;1
490;Poecilotriccus fumifrons;1;0;1;1;0
491;Poecilotriccus plumbeiceps;1;1;1;1;0
492;Poecilotriccus sylvia;1;1;1;1;0
493;Polioptila plumbea;1;1;1;1;0
494;Polystictus superciliaris;1;1;1;1;0
495;Polytmus guainumbi;1;0;1;0;0
496;Porphyrio martinicus;1;1;1;1;1
497;Porphyrospiza caerulescens;1;0;1;0;0
498;Porzana albicollis;1;0;1;0;1
499;Primolius maracana;1;0;1;1;0
500;Procnias averano;1;0;0;1;0
501;Procnias nudicollis;1;0;0;1;0
502;Progne chalybea;1;1;1;1;0
503;Progne subis;1;1;1;1;0
504;Progne tapera;1;1;1;0;0
505;Psarocolius decumanus;1;1;0;1;0
506;Pseudastur polionotus;1;1;0;1;0
507;Pseudocolopteryx sclateri;1;0;0;0;0
508;Pseudoseisura cristata;1;1;1;1;0
509;Psittacara acuticaudatus;1;0;1;1;0
510;Psittacara leucophthalmus;1;1;1;1;0
511;Pterodroma deserta;1;0;1;0;0
512;Pterodroma madeira;1;0;0;0;0
513;Pteroglossus aracari;1;1;1;1;0
514;Pteroglossus bailloni;1;0;0;1;0
515;Pteroglossus inscriptus;1;0;1;1;0
516;Puffinus lherminieri;1;0;0;0;0
517;Puffinus puffinus;1;0;0;0;0
518;Pulsatrix perspicillata;1;1;1;1;0
519;Pygochelidon cyanoleuca;1;1;1;0;0
520;Pyriglena leuconota;1;0;0;1;0
521;Pyriglena leucoptera;1;1;0;1;0
522;Pyrocephalus rubinus;1;1;1;1;0
523;Pyroderus scutatus;1;0;0;1;0
524;Pyrrhura cruentata;1;1;0;1;0
525;Pyrrhura frontalis;1;1;0;1;0
526;Pyrrhura griseipectus;1;0;0;1;0
527;Pyrrhura leucotis;1;1;1;1;0
528;Rallus longirostris;1;0;0;1;1
529;Ramphastos ariel;1;0;1;1;0
530;Ramphastos toco;1;1;1;1;0
531;Ramphocaenus melanurus;1;1;1;1;0
532;Ramphocelus bresilius;1;1;1;1;0
533;Ramphocelus carbo;1;1;1;1;0
534;Rhea americana;1;0;1;0;0
535;Rhopornis ardesiacus;1;0;1;1;0
536;Rhynchocyclus olivaceus;1;0;0;1;0
537;Rhynchotus rufescens;1;1;1;0;0
538;Rhytipterna simplex;1;0;0;1;0
539;Riparia riparia;1;1;1;0;0
540;Rostrhamus sociabilis;1;1;1;1;0
541;Rufirallus viridis;1;1;1;0;1
542;Rupornis magnirostris;1;1;1;1;0
543;Rynchops niger;1;0;1;0;1
544;Sakesphorus cristatus;1;0;1;1;0
545;Saltator atricollis;1;0;1;1;0
546;Saltator coerulescens;1;1;1;1;0
547;Saltator fuliginosus;1;0;0;1;0
548;Saltator maximus;1;1;0;1;0
549;Saltator similis;1;1;0;1;0
550;Sarcoramphus papa;1;0;1;1;0
551;Sarkidiornis sylvicola;1;1;1;0;1
552;Satrapa icterophrys;1;1;0;1;0
553;Schiffornis turdina;1;0;0;1;0
554;Schiffornis virescens;1;0;0;1;0
555;Schistochlamys melanopis;1;1;1;0;0
556;Schistochlamys ruficapillus;1;0;1;1;0
557;Schoeniophylax phryganophilus;1;1;1;1;0
558;Sclerurus cearensis;1;0;0;1;0
559;Sclerurus mexicanus;1;0;0;1;0
560;Sclerurus scansor;1;0;0;1;0
561;Scytalopus diamantinensis;1;1;1;1;0
562;Selenidera gouldii;1;0;1;1;0
563;Serpophaga subcristata;1;1;1;1;0
564;Setopagis parvula;1;1;1;1;0
565;Setophaga fusca;1;0;0;1;0
566;Setophaga pitiayumi;1;0;1;1;0
567;Sicalis citrina;1;1;1;0;0
568;Sicalis columbiana;1;1;1;0;0
569;Sicalis flaveola;1;1;1;0;0
570;Sicalis luteola;1;1;1;0;0
571;Sirystes sibilator;1;0;0;1;0
572;Sittasomus griseicapillus;1;1;1;1;0
573;Spatula discors;1;0;1;0;1
574;Spinus magellanicus;1;1;1;1;0
575;Spinus yarrellii;1;1;1;1;0
576;Spizaetus tyrannus;1;0;0;1;0
577;Sporophila albogularis;1;1;1;1;0
578;Sporophila angolensis;1;1;1;1;0
579;Sporophila ardesiaca;1;1;1;0;0
580;Sporophila beltoni;1;0;1;0;0
581;Sporophila bouvreuil;1;0;1;0;0
582;Sporophila caerulescens;1;1;1;0;0
583;Sporophila leucoptera;1;1;1;0;0
584;Sporophila lineola;1;1;1;0;0
585;Sporophila maximiliani;1;1;1;0;0
586;Sporophila nigricollis;1;1;1;0;0
587;Sporophila palustris;1;0;1;0;0
588;Sporophila plumbea;1;0;1;0;0
589;Stelgidopteryx ruficollis;1;1;1;1;0
590;Sterna hirundinacea;1;0;1;0;1
591;Sterna hirundo;1;0;1;0;1
592;Sternula antillarum;1;1;1;1;1
593;Sternula superciliaris;1;1;1;1;1
594;Stigmatura bahiae;1;0;1;0;0
595;Stigmatura budytoides;1;0;1;1;0
596;Streptoprocne biscutata;1;1;0;1;0
597;Streptoprocne zonaris;1;1;0;1;0
598;Sublegatus modestus;1;0;1;1;0
599;Suiriri affinis;1;0;1;0;0
600;Suiriri suiriri;1;0;1;1;0
601;Sula dactylatra;1;0;1;0;1
602;Sula leucogaster;1;1;1;1;1
603;Sula sula;1;1;1;1;1
604;Synallaxis albescens;1;1;1;0;0
605;Synallaxis cinerea;1;0;0;1;0
606;Synallaxis frontalis;1;1;1;1;0
607;Synallaxis hellmayri;1;0;1;0;0
608;Synallaxis hypospodia;1;1;1;0;0
609;Synallaxis infuscata;1;1;1;1;0
